"No.","Time","Source","Destination","Protocol","Length","Info"
"71","5.738588","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=14473 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"72","5.738588","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=15009 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"73","5.738588","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=15545 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"74","5.738692","10.200.251.252","23.227.142.154","TCP","54","55620  >  80 [ACK] Seq=229 Ack=16081 Win=65535 Len=0"
"75","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=16081 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"76","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=16617 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"77","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=17153 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"78","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=17689 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"79","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=18225 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"80","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=18761 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"81","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=19297 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"82","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=19833 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"83","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=20369 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"84","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=20905 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"85","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=21441 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"86","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=21977 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"87","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=22513 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"88","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=23049 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"89","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=23585 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"90","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=24121 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"91","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=24657 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"92","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=25193 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"93","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=25729 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"94","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=26265 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"95","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=26801 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"96","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=27337 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"97","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=27873 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"98","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=28409 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"99","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=28945 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"100","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=29481 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"101","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=30017 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"102","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=30553 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"103","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=31089 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"104","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=31625 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"105","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=32161 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"106","6.145981","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=32697 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"107","6.147057","10.200.251.252","23.227.142.154","TCP","54","55620  >  80 [ACK] Seq=229 Ack=33233 Win=65535 Len=0"
"108","6.147375","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=33233 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"109","6.147375","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=33769 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"110","6.147375","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=34305 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
